Title,Link,Details
2025 PCI SSC North America Community Meeting,https://events.pcisecuritystandards.org/#,"The three-day PCI SSC 2025 Global Community Forum “will include all the things you expect from PCI SSC events – important Council updates, regional insights, opportunities for feedback, networking, and fun engagement activities.” This event is for Qualified Security Assessors (QSAs), Approved Scanning Vendors (ASVs), PTS Approved Labs (PTS), PCI Professionals (PCIPs), Payment Application QSAs (PA QSAs), Internal Security Assessors (ISAs), Qualified Integrators and Resellers (QIRs), Point to Point Encryption Assessors (P2PEs), Card Production Security Assessors (CPSAs), Qualified PIN Assessors (QPAs) and Software Security Framework Assessors (SSAs). PCI SSC 2025 Global Community Forum: $295 Date: September 16 - 18, 2025 Location: Fort Worth, Texas"
2025 PCI SSC Europe Community Meeting,https://events.pcisecuritystandards.org/#,"The three-day PCI SSC 2025 Global Community Forum “will include all the things you expect from PCI SSC events – important Council updates, regional insights, opportunities for feedback, networking, and fun engagement activities.” This event is for Qualified Security Assessors (QSAs), Approved Scanning Vendors (ASVs), PTS Approved Labs (PTS), PCI Professionals (PCIPs), Payment Application QSAs (PA QSAs), Internal Security Assessors (ISAs), Qualified Integrators and Resellers (QIRs), Point to Point Encryption Assessors (P2PEs), Card Production Security Assessors (CPSAs), Qualified PIN Assessors (QPAs) and Software Security Framework Assessors (SSAs). PCI SSC 2025 Global Community Forum: $295 Date: October 14 - 16, 2025 Location: Amsterdam, Netherlands"
2025 PCI SSC Asia-Pacific Community Meeting,https://events.pcisecuritystandards.org/#,"The two-day PCI SSC 2025 Global Community Forum “will include all the things you expect from PCI SSC events – important Council updates, regional insights, opportunities for feedback, networking, and fun engagement activities.” This event is for Qualified Security Assessors (QSAs), Approved Scanning Vendors (ASVs), PTS Approved Labs (PTS), PCI Professionals (PCIPs), Payment Application QSAs (PA QSAs), Internal Security Assessors (ISAs), Qualified Integrators and Resellers (QIRs), Point to Point Encryption Assessors (P2PEs), Card Production Security Assessors (CPSAs), Qualified PIN Assessors (QPAs) and Software Security Framework Assessors (SSAs). PCI SSC 2025 Global Community Forum: $295 Date: November 5 - 6, 2025 Location: Bangkok, Thailand"
RSA Conference 2025,https://www.rsaconference.com/usa,"RSA is returning to San Francisco for 2025 and will take place on April 28 - May 1. RSA conference is one of the premier information security shows in the industry. Their mission is to “connect you to the most knowledgeable people and cutting-edge content that will empower you to stay ahead of cyberthreats and advance your career. The conversations and debates are...designed for open and honest dialog that often provide different/unique and sometimes opposing views in order to get to the heart of the problem and ultimately a creative/unbiased solution.” RSA Conference Price: Starting at $2,195 for a single, full conference early-bird ticket Date: April 28 - May 1, 2025 Location: San Francisco, CA"
Innovate Cybersecurity Summit,https://innovatecybersecuritysummit.com/,"Innovate Cybersecurity Summit is a highly anticipated summit that brings together Cybersecurity Executives and CISOs from all corners of the country, assembling a national community of professionals for three days of exclusive, invite-only discussion and learning. Attendees can expect a world-class experience with access to insightful CISO panels and education sessions that explore best practices and real-world challenges, unparalleled networking opportunities, and unique engagement with the industry’s latest cybersecurity technology solutions and vendors. A must-attend event for CISOs and leading Cybersecurity Practitioners looking to stay ahead of the game! Innovate Cybersecurity Summit Price: This event is invite-only for CISOs. If invited, attendees will be fully hosted. Please reach out to their team ontheir websiteto learn more about attendance. Spring Summit Date: April 6 - 8, 2025 Location: Nashville, Tennessee Fall Summit Date: October 5 - 7, 2025 Location: Scottsdale, AZ"
SAINTCON,https://saintcon.org/,"Put on by the Utah chapter of the Security Advisory and Incident Network Team (""UtahSAINT""), this conference has been held for over 20 years throughout the State of Utah. The organization aims to be, “fun, engaging, and instructional.” SAINTCON is a friendly show for security and IT professionals, and also welcomes anyone interested in “computer security, hacking, and security research.” SAINTCON Price: $250 - $350 Date: October 21 - 24, 2025 Location: Provo, Utah"
Cloud & Cyber Security Expo,https://www.cloudsecurityexpo.com/,"This London expo is a great networking and educational opportunity. Cloud & Cyber Security Expo aims to bring together “cyber security innovators, technologists, and business leaders to help them protect their networks and assets in an increasingly complex and hostile digital environment.” Cloud & Cyber Security Expo Price: TBA Date: March 4 - 5, 2026 Location: London, UK"
HIMSS,https://www.himss.org/global-conference?gclid=CjwKCAjwvrOpBhBdEiwAR58-3D9Muip01_4OdnwXxAGnNwfMFodzcvPnN5bjArshHgSwfPpr9RkBthoCy9YQAvD_BwE,"HIMSS is the primary health information and technology conference. With thousands of attendees from over 90 countries, this conference is a must for those interested in transforming health around the world through advances in technology. Choose from over several sessions and enjoy a vast selection of special programs and networking opportunities. HIMSS Price: $750 - $1645 Date: March 9 - 12, 2026 Location: Las Vegas, Nevada"
HIMSS Europe,https://www.himss.org/events-overview/european-health-conference-and-exhibition/?_gl=1*sm49gs*_ga*OTE1Nzg2MTIwLjE3NDI5NDA3MDU.*_ga_QZX0W5RKQW*MTc0Mjk0MDcwNS4xLjEuMTc0Mjk0MTAyOC4wLjAuMA..*_gcl_au*NTQwMzcwMzQ5LjE3NDI5NDA3MDU.,"HIMSS is the primary health information and technology conference. With thousands of attendees from over several countries, this conference is a must for those interested in transforming health around the world through advances in technology. Choose from over 300 sessions and enjoy a vast selection of special programs and networking opportunities. HIMSS Price: € 449 - €2299 Date: June 10 - 12, 2025 Location: Paris, France"
WiCyS,https://www.wicys.org/events/wicys-2024/,"WiCyS is a technical conference designed for women with the aim to “recruit, retain and advance women in cybersecurity.” This event welcomes those with academic and industry backgrounds. Students can also attend this event. WiCyS Conference Price: $40 - $850 Date: April 2 - 5, 2025 Location: Dallas, TX"
