Title,Short Name,Conference URL,Date,Location,Note
AISTATS 2025,AISTATS '25,https://aistats.org/aistats2025/index.html,"May 03-05, 2025.","Phuket, Thailand","Note:Abstract deadline on October 3, 2024. More infohere"
CVPR 2025,CVPR '25,https://cvpr.thecvf.com/Conferences/2025,"June 10-17, 2025.","Nashville, Tennessee, USA","Note:Mandatory paper registration deadline on November 07, 2023. More infohere."
NAACL 2025,NAACL '25,https://2025.naacl.org,"April 29 - May 4, 2024.","Albuquerque, New Mexico, USA",Note:All submissions must be done through ARR. More infohere.
ICLR 2025,ICLR '25,https://iclr.cc/Conferences/2025/CallForPapers,"Apr 24-28, 2025.",Singapore,"Note:Mandatory abstract deadline on September 27, 2024. More infohere."
LoG 2024,LoG '24,https://logconference.org,"November 26 - November 29, 2024.","Virtual, free to attend","Note:Abstract deadline on Sep 04, 2024. More infohere."
ECIR 2025,ECIR '25,https://ecir2025.eu/,"April 6 - April 10, 2025.","Lucca, Tuscany, Italy","Note:Abstract deadline on Oct 2, 2024. More infohere."
WACV 2025,WACV '25,https://wacv2025.thecvf.com/,"Feb 28 – Mar 4, 2025.","Tucson, Arizona","Note:This is the second round of submissions. Summplementary material deadline on Sep 11, 2024. More infohere."
AAMAS 2025,AAMAS '25,https://aamas2025.org/,"May 19 - May 23, 2025.","Detroit, Michigan, USA","Note:Mandatory abstract deadline on Oct 09, 2024. More infohere."
CHI 2025,CHI '25,https://chi2025.acm.org/,"April 26 - May 01, 2025.","Yokohama, Japan","Note:Mandatory abstract deadline on Sep 05, 2024. More infohere."
COLING 2025,COLING '25,https://coling2025.org/,"January 19-24, 2025.","Abu Dhabi, UAE",Note:More info can be foundhere.
WSDM 2025,WSDM '25,https://www.wsdm-conference.org/2025/,"March 10-14, 2025.","Hannover, Germany","Note:Abstract deadline on August 7, 2024"
Iberamia 2024,Iberamia '24,https://www.iberamia.org/iberamia/iberamia2024/,"November 13-15, 2024.","Montevideo, Uruguay",
NeurIPS [Dataset and Benchmarks Track] 2024,NeurIPS [Dataset and Benchmarks Track] '24,https://nips.cc/Conferences/2024/CallForDatasetsBenchmarks,"December 9 - December 15, 2024.","Vancouver, Canada","Note:Mandatory abstract deadline on May 29, 2024, and supplementary material deadline on June 12, 2024. More infohere."
ICRA 2025,ICRA '25,https://2025.ieee-icra.org,"May 19 - May 23, 2025.","Atlanta, USA",
